Country,Region,ResidenceType,Year,PM25,HealthCategory,HealthImpactScore,lat,long
Kenya,Africa,Cities,2019,10.01,Moderate,2,0.5994488365065361,37.79622826715814
Trinidad and Tobago,Americas,Rural,2019,10.02,Moderate,2,10.45717257448732,-61.26590185083753
United Kingdom of Great Britain and Northern Ireland,Europe,Cities,2019,10.06,Moderate,2,54.01164974612877,-2.758142056330439
Grenada,Americas,Total,2019,10.08,Moderate,2,12.117242437507342,-61.68221177193215
Brazil,Americas,Towns,2019,10.09,Moderate,2,-10.639048767332707,-53.215733923741304
Denmark,Europe,Urban,2019,10.12,Moderate,2,55.97498217099483,10.042211774911003
Russian Federation,Europe,Cities,2019,10.19,Moderate,2,66.03172193364617,95.6413766734594
Spain,Europe,Cities,2019,10.19,Moderate,2,40.20765398401546,-3.703536252532036
Grenada,Americas,Towns,2019,10.22,Moderate,2,12.117242437507342,-61.68221177193215
Grenada,Americas,Urban,2019,10.22,Moderate,2,12.117242437507342,-61.68221177193215
Trinidad and Tobago,Americas,Total,2019,10.26,Moderate,2,10.45717257448732,-61.26590185083753
France,Europe,Towns,2019,10.27,Moderate,2,44.888362609781325,32.72416201420128
Guyana,Americas,Rural,2019,10.33,Moderate,2,4.789642907600431,-58.97992099271873
Austria,Europe,Rural,2019,10.34,Moderate,2,47.592293442958706,14.110430066704852
Lithuania,Europe,Total,2019,10.37,Moderate,2,55.32377006198488,23.897099877574927
Haiti,Americas,Cities,2019,10.38,Moderate,2,18.93457513645946,-72.68676252790391
Trinidad and Tobago,Americas,Urban,2019,10.39,Moderate,2,10.45717257448732,-61.26590185083753
Trinidad and Tobago,Americas,Cities,2019,10.39,Moderate,2,10.45717257448732,-61.26590185083753
Trinidad and Tobago,Americas,Towns,2019,10.4,Moderate,2,10.45717257448732,-61.26590185083753
Belize,Americas,Towns,2019,10.44,Moderate,2,17.19829887063732,-88.71106761807934
Belize,Americas,Urban,2019,10.44,Moderate,2,17.19829887063732,-88.71106761807934
Belize,Americas,Cities,2019,10.45,Moderate,2,17.19829887063732,-88.71106761807934
France,Europe,Total,2019,10.46,Moderate,2,46.22452479787171,-40.91161431744695
Mauritius,Africa,Total,2019,10.48,Moderate,2,-20.277619585001833,57.57126469549003
Mauritius,Africa,Urban,2019,10.48,Moderate,2,-20.277619585001833,57.57126469549003
Netherlands (Kingdom of the),Europe,Towns,2019,10.5,Moderate,2,52.22691960090928,4.99154833318456
Belize,Americas,Rural,2019,10.51,Moderate,2,17.19829887063732,-88.71106761807934
Belize,Americas,Total,2019,10.51,Moderate,2,17.19829887063732,-88.71106761807934
Japan,Western Pacific,Towns,2019,10.51,Moderate,2,37.46088047559287,137.6600062659808
Mauritius,Africa,Rural,2019,10.53,Moderate,2,-20.277619585001833,57.57126469549003
Germany,Europe,Towns,2019,10.55,Moderate,2,51.05057720039199,10.364371589292613
Denmark,Europe,Cities,2019,10.7,Moderate,2,55.97498217099483,10.042211774911003
Germany,Europe,Total,2019,10.73,Moderate,2,51.05057720039199,10.364371589292613
Netherlands (Kingdom of the),Europe,Total,2019,10.74,Moderate,2,52.22691960090928,4.99154833318456
Namibia,Africa,Rural,2019,10.81,Moderate,2,-22.069690013855066,17.195019957489034
Japan,Western Pacific,Total,2019,10.84,Moderate,2,37.46088047559287,137.6600062659808
Cuba,Americas,Rural,2019,10.86,Moderate,2,21.637935340166706,-78.98705412942007
Netherlands (Kingdom of the),Europe,Urban,2019,10.88,Moderate,2,52.22691960090928,4.99154833318456
Suriname,Americas,Rural,2019,10.89,Moderate,2,4.129848287854486,-55.91243117427252
Brazil,Americas,Total,2019,10.94,Moderate,2,-10.639048767332707,-53.215733923741304
Argentina,Americas,Cities,2019,11.07,Moderate,2,-34.68398767122581,-64.76261489391939
Belgium,Europe,Towns,2019,11.08,Moderate,2,50.63889496311262,4.645938194702398
Japan,Western Pacific,Urban,2019,11.1,Moderate,2,37.46088047559287,137.6600062659808
Guyana,Americas,Total,2019,11.11,Moderate,2,4.789642907600431,-58.97992099271873
Mauritius,Africa,Towns,2019,11.13,Moderate,2,-20.277619585001833,57.57126469549003
Netherlands (Kingdom of the),Europe,Cities,2019,11.15,Moderate,2,52.22691960090928,4.99154833318456
Germany,Europe,Urban,2019,11.15,Moderate,2,51.05057720039199,10.364371589292613
Argentina,Americas,Urban,2019,11.23,Moderate,2,-34.68398767122581,-64.76261489391939
Austria,Europe,Towns,2019,11.24,Moderate,2,47.592293442958706,14.110430066704852
Guyana,Americas,Towns,2019,11.25,Moderate,2,4.789642907600431,-58.97992099271873
